"","userID","artistID"
"1",2100,837
"2",2100,8327
"3",2100,8326
"4",2100,18728
"5",2100,10894
"6",2100,8324
"7",2100,3
"8",2100,1134
"9",2100,8323
"10",2100,4970
"11",2099,1945
"12",2099,17956
"13",2099,17294
"14",2099,18722
"15",2099,18714
"16",2099,16215
"17",2099,138
"18",2099,2811
"19",2099,14230
"20",2099,6336
"21",2097,159
"22",2097,982
"23",2097,859
"24",2097,10385
"25",2097,2582
"26",2097,709
"27",2097,56
"28",2097,203
"29",2097,620
"30",2097,432
"31",2096,173
"32",2096,1504
"33",2096,1384
"34",2096,17934
"35",2096,4051
"36",2096,1097
"37",2096,88
"38",2096,198
"39",2096,1090
"40",2096,715
"41",2095,4972
"42",2095,18678
"43",2095,18677
"44",2095,18695
"45",2095,18687
"46",2095,18676
"47",2095,1109
"48",2095,8439
"49",2095,18675
"50",2095,18669
"51",2094,344
"52",2094,5032
"53",2094,3859
"54",2094,18663
"55",2094,14035
"56",2094,3587
"57",2094,89
"58",2094,458
"59",2094,3584
"60",2094,2443
"61",2093,718
"62",2093,2871
"63",2093,2855
"64",2093,10412
"65",2093,5168
"66",2093,2853
"67",2093,96
"68",2093,733
"69",2093,2834
"70",2093,2342
"71",2092,207
"72",2092,1766
"73",2092,1515
"74",2092,9545
"75",2092,3259
"76",2092,1512
"77",2092,173
"78",2092,227
"79",2092,1510
"80",2092,714
"81",2091,1401
"82",2091,16083
"83",2091,15923
"84",2091,18652
"85",2091,18644
"86",2091,15102
"87",2091,56
"88",2091,2222
"89",2091,14773
"90",2091,8159
"91",2090,707
"92",2090,9921
"93",2090,9783
"94",2090,18637
"95",2090,18444
"96",2090,9242
"97",2090,233
"98",2090,875
"99",2090,8555
"100",2090,3455
"101",2088,207
"102",2088,1426
"103",2088,959
"104",2088,9426
"105",2088,3314
"106",2088,913
"107",2088,45
"108",2088,279
"109",2088,630
"110",2088,326
"111",2087,209
"112",2087,498
"113",2087,486
"114",2087,2977
"115",2087,1042
"116",2087,466
"117",2087,55
"118",2087,289
"119",2087,461
"120",2087,332
"121",2086,227
"122",2086,3692
"123",2086,3475
"124",2086,18619
"125",2086,11819
"126",2086,3370
"127",2086,154
"128",2086,539
"129",2086,3109
"130",2086,1400
"131",2084,207
"132",2084,1664
"133",2084,1520
"134",2084,18612
"135",2084,6726
"136",2084,1517
"137",2084,65
"138",2084,226
"139",2084,1515
"140",2084,982
"141",2083,159
"142",2083,5559
"143",2083,4620
"144",2083,18608
"145",2083,18600
"146",2083,4251
"147",2083,72
"148",2083,554
"149",2083,4155
"150",2083,1249
"151",2081,231
"152",2081,2614
"153",2081,2612
"154",2081,18593
"155",2081,8053
"156",2081,1875
"157",2081,204
"158",2081,366
"159",2081,1772
"160",2081,1249
"161",2080,81
"162",2080,2043
"163",2080,2039
"164",2080,18590
"165",2080,7470
"166",2080,1893
"167",2080,53
"168",2080,441
"169",2080,1888
"170",2080,1156
"171",2079,300
"172",2079,1462
"173",2079,1459
"174",2079,18582
"175",2079,3577
"176",2079,1453
"177",2079,45
"178",2079,360
"179",2079,1201
"180",2079,786
"181",2078,226
"182",2078,3719
"183",2078,3169
"184",2078,18579
"185",2078,13351
"186",2078,2842
"187",2078,70
"188",2078,439
"189",2078,2398
"190",2078,1274
"191",2077,182
"192",2077,972
"193",2077,959
"194",2077,4074
"195",2077,1412
"196",2077,952
"197",2077,72
"198",2077,229
"199",2077,951
"200",2077,732
"201",2076,227
"202",2076,2788
"203",2076,1807
"204",2076,14629
"205",2076,5027
"206",2076,1771
"207",2076,67
"208",2076,298
"209",2076,1763
"210",2076,955
"211",2075,72
"212",2075,889
"213",2075,860
"214",2075,3562
"215",2075,1244
"216",2075,612
"217",2075,51
"218",2075,155
"219",2075,605
"220",2075,429
"221",2072,291
"222",2072,2019
"223",2072,1866
"224",2072,18562
"225",2072,7449
"226",2072,1782
"227",2072,89
"228",2072,318
"229",2072,1684
"230",2072,680
"231",2071,257
"232",2071,1453
"233",2071,1430
"234",2071,13743
"235",2071,3498
"236",2071,913
"237",2071,67
"238",2071,291
"239",2071,795
"240",2071,525
"241",2070,229
"242",2070,1406
"243",2070,1249
"244",2070,16891
"245",2070,2595
"246",2070,1239
"247",2070,7
"248",2070,378
"249",2070,1186
"250",2070,808
"251",2069,234
"252",2069,1231
"253",2069,1180
"254",2069,18551
"255",2069,3753
"256",2069,1105
"257",2069,97
"258",2069,378
"259",2069,1094
"260",2069,726
"261",2068,265
"262",2068,3763
"263",2068,3489
"264",2068,18548
"265",2068,8290
"266",2068,3466
"267",2068,55
"268",2068,386
"269",2068,3307
"270",2068,972
"271",2067,829
"272",2067,18528
"273",2067,15054
"274",2067,18545
"275",2067,18537
"276",2067,14208
"277",2067,507
"278",2067,2214
"279",2067,13847
"280",2067,6837
"281",2066,500
"282",2066,5079
"283",2066,4912
"284",2066,18525
"285",2066,15457
"286",2066,4162
"287",2066,2
"288",2066,923
"289",2066,4156
"290",2066,2038
"291",2065,300
"292",2065,686
"293",2065,682
"294",2065,8047
"295",2065,2091
"296",2065,545
"297",2065,89
"298",2065,344
"299",2065,544
"300",2065,464
"301",2064,228
"302",2064,1151
"303",2064,1052
"304",2064,18514
"305",2064,4074
"306",2064,1048
"307",2064,88
"308",2064,333
"309",2064,1043
"310",2064,689
"311",2062,211
"312",2062,2051
"313",2062,1708
"314",2062,13624
"315",2062,5437
"316",2062,1705
"317",2062,65
"318",2062,231
"319",2062,1511
"320",2062,1243
"321",2061,288
"322",2061,1684
"323",2061,1459
"324",2061,8017
"325",2061,4769
"326",2061,1449
"327",2061,89
"328",2061,295
"329",2061,1444
"330",2061,523
"331",2060,726
"332",2060,4971
"333",2060,4615
"334",2060,18469
"335",2060,10091
"336",2060,3416
"337",2060,12
"338",2060,824
"339",2060,2970
"340",2060,2370
"341",2059,288
"342",2059,544
"343",2059,525
"344",2059,16891
"345",2059,1052
"346",2059,498
"347",2059,7
"348",2059,295
"349",2059,475
"350",2059,360
"351",2058,183
"352",2058,1463
"353",2058,1406
"354",2058,18460
"355",2058,3861
"356",2058,1380
"357",2058,55
"358",2058,300
"359",2058,1081
"360",2058,715
"361",2057,333
"362",2057,1632
"363",2057,1519
"364",2057,14318
"365",2057,3753
"366",2057,1406
"367",2057,56
"368",2057,437
"369",2057,1400
"370",2057,898
"371",2056,455
"372",2056,7099
"373",2056,5767
"374",2056,18455
"375",2056,15685
"376",2056,4987
"377",2056,55
"378",2056,726
"379",2056,4983
"380",2056,3863
"381",2055,72
"382",2055,3454
"383",2055,3432
"384",2055,18449
"385",2055,16238
"386",2055,3217
"387",2055,9
"388",2055,172
"389",2055,3183
"390",2055,1069
"391",2054,299
"392",2054,797
"393",2054,793
"394",2054,4879
"395",2054,2020
"396",2054,790
"397",2054,89
"398",2054,318
"399",2054,701
"400",2054,680
"401",2053,377
"402",2053,2370
"403",2053,2014
"404",2053,10865
"405",2053,4319
"406",2053,1710
"407",2053,7
"408",2053,504
"409",2053,1359
"410",2053,972
"411",2052,163
"412",2052,3308
"413",2052,3304
"414",2052,18437
"415",2052,8802
"416",2052,3230
"417",2052,68
"418",2052,599
"419",2052,2936
"420",2052,2013
"421",2051,234
"422",2051,3299
"423",2051,3292
"424",2051,18431
"425",2051,11598
"426",2051,3291
"427",2051,154
"428",2051,632
"429",2051,3290
"430",2051,2542
"431",2048,1447
"432",2048,18395
"433",2048,17646
"434",2048,18412
"435",2048,18404
"436",2048,16333
"437",2048,69
"438",2048,3264
"439",2048,12351
"440",2048,8266
"441",2047,72
"442",2047,2605
"443",2047,1824
"444",2047,18392
"445",2047,5237
"446",2047,1801
"447",2047,52
"448",2047,233
"449",2047,1713
"450",2047,1083
"451",2046,34
"452",2046,1300
"453",2046,1145
"454",2046,18388
"455",2046,3184
"456",2046,1131
"457",2046,7
"458",2046,233
"459",2046,1113
"460",2046,953
"461",2045,424
"462",2045,4906
"463",2045,4901
"464",2045,18385
"465",2045,17138
"466",2045,4887
"467",2045,163
"468",2045,757
"469",2045,4821
"470",2045,3046
"471",2044,215
"472",2044,2469
"473",2044,2408
"474",2044,18375
"475",2044,6213
"476",2044,1833
"477",2044,65
"478",2044,418
"479",2044,1718
"480",2044,869
"481",2043,691
"482",2043,3721
"483",2043,3714
"484",2043,12980
"485",2043,6769
"486",2043,3707
"487",2043,217
"488",2043,1096
"489",2043,3705
"490",2043,2574
"491",2042,503
"492",2042,2014
"493",2042,1905
"494",2042,6249
"495",2042,3859
"496",2042,1778
"497",2042,65
"498",2042,706
"499",2042,1662
"500",2042,1241
"501",2041,209
"502",2041,1246
"503",2041,1198
"504",2041,13600
"505",2041,4262
"506",2041,1194
"507",2041,67
"508",2041,377
"509",2041,1189
"510",2041,1046
"511",2040,190
"512",2040,886
"513",2040,704
"514",2040,9578
"515",2040,3110
"516",2040,689
"517",2040,55
"518",2040,289
"519",2040,686
"520",2040,548
"521",2039,171
"522",2039,1394
"523",2039,1384
"524",2039,12352
"525",2039,4074
"526",2039,1375
"527",2039,65
"528",2039,228
"529",2039,1099
"530",2039,777
"531",2038,230
"532",2038,689
"533",2038,679
"534",2038,1934
"535",2038,1243
"536",2038,544
"537",2038,56
"538",2038,292
"539",2038,539
"540",2038,464
"541",2037,190
"542",2037,468
"543",2037,466
"544",2037,3502
"545",2037,1037
"546",2037,352
"547",2037,67
"548",2037,285
"549",2037,344
"550",2037,308
"551",2036,599
"552",2036,10891
"553",2036,8383
"554",2036,18364
